"","S","R","stock","region","t"
"391",152580,570410,31,5,10
"392",58540,126490,31,5,11
"393",585520,999130,31,5,12
"394",863430,1603020,31,5,13
"395",9386480,13734810,31,5,14
"396",2785200,4987740,31,5,15
"397",1656660,2995930,31,5,16
"398",2926450,6053610,31,5,17
"399",72190,339310,31,5,18
"400",494610,738500,31,5,19
"401",821310,823990,31,5,23
"402",387090,745420,34,10,10
"403",344470,344470,34,10,11
"404",256880,256880,34,10,12
"405",472080,1853020,34,10,13
"406",279120,1795200,34,10,14
"407",535960,3676090,34,10,15
"408",573070,3532670,34,10,16
"409",1209740,5734770,34,10,17
"410",356380,2844920,34,10,18
"411",362370,843690,34,10,19
"412",443660,8414020,34,10,20
"413",204380,693610,34,10,21
"414",615240,12169560,34,10,22
"415",584240,6643300,34,10,23
"416",140660,231100,35,10,10
"417",79060,79060,35,10,11
"418",94650,94650,35,10,12
"419",117590,199960,35,10,13
"420",164030,380730,35,10,14
"421",307680,1579070,35,10,15
"422",482860,1229980,35,10,16
"423",792560,2037600,35,10,17
"424",155830,303100,35,10,18
"425",152540,154320,35,10,19
"426",304090,316420,35,10,20
"427",95070,95070,35,10,21
"428",196380,196380,35,10,22
"429",330290,330290,35,10,23
"430",72000,194600,32,6,7
"431",90000,178200,32,6,8
"432",128700,324800,32,6,9
"433",72600,444000,32,6,10
"434",7800,19800,32,6,11
"435",60200,60200,32,6,12
"436",89300,194500,32,6,13
"437",157500,438300,32,6,14
"438",74800,189400,32,6,15
"439",13400,31700,32,6,16
"440",109800,110600,32,6,17
"441",180500,341800,32,6,18
"442",181300,592500,32,6,19
"443",88400,133800,32,6,20
"444",190400,548600,32,6,21
"445",153900,238800,32,6,22
"446",1565480,2052750,36,12,6
"447",1819100,9030790,36,12,7
"448",1929060,6690110,36,12,8
"449",3067440,12908290,36,12,9
"450",2882640,8059560,36,12,10
"451",3566050,6761220,36,12,11
"452",2190820,2792320,36,12,12
"453",1309350,1348200,36,12,13
"454",4686750,7325090,36,12,14
"455",3963700,5318080,36,12,15
"456",6834680,17654940,36,12,16
"457",5886190,9645550,36,12,17
"458",5350780,6241220,36,12,18
"459",4129310,6098360,36,12,19
"460",6541010,11976210,36,12,20
"461",8486860,23891770,36,12,21
"462",14110530,49721470,36,12,22
"463",10592320,19678790,36,12,23
"464",508300,571210,37,12,6
"465",707740,778140,37,12,7
"466",507540,533550,37,12,8
"467",543250,584780,37,12,9
"468",522630,587350,37,12,10
"469",760050,804880,37,12,11
"470",997920,1052410,37,12,12
"471",898330,996480,37,12,13
"472",1941620,2076280,37,12,14
"473",826880,897500,37,12,15
"474",1688520,2161260,37,12,16
"475",2394270,3626910,37,12,17
"476",1025130,1234680,37,12,18
"477",657850,714170,37,12,19
"478",1101880,1266680,37,12,20
"479",2035330,2430420,37,12,21
"480",4209600,5198660,37,12,22
"481",4760420,6573960,37,12,23
"482",3295480,14302770,38,12,6
"483",5441800,16700790,38,12,7
"484",7114730,22764430,38,12,8
"485",4591560,19792260,38,12,9
"486",3810110,9221730,38,12,10
"487",4109360,13262360,38,12,11
"488",3855720,8076720,38,12,12
"489",8758960,13915960,38,12,13
"490",12055230,30480230,38,12,14
"491",12684340,25591340,38,12,15
"492",9476020,22393020,38,12,16
"493",18803270,38440270,38,12,17
"494",31929920,76929920,38,12,18
"495",8522480,17569480,38,12,19
"496",15757440,42457440,38,12,20
"497",16377060,35377060,38,12,21
"498",15554600,36654600,38,12,22
"499",45232040,98932040,38,12,23
"500",210000,242740,39,14,7
"501",60000,63680,39,14,12
"502",38080,45970,39,14,13
"503",360000,373410,39,14,14
"504",250000,294300,39,14,15
"505",40300,47050,39,14,16
"506",113160,127150,39,14,17
"507",255000,261180,39,14,18
"508",78750,97470,39,14,19
"509",525000,553510,39,14,20
"510",54930,86300,43,9,11
"511",154290,254960,43,9,12
"512",10610,52130,43,9,13
"513",21810,171280,43,9,14
"514",127900,350110,43,9,15
"515",173350,336250,43,9,16
"516",458390,475810,43,9,17
"517",236490,236490,43,9,18
"518",112770,136500,43,9,19
"519",25690,25690,43,9,20
"520",900,2900,1,1,7
"521",700,1000,1,1,8
"522",4400,4400,1,1,9
"523",8500,8800,1,1,10
"524",200,200,1,1,11
"525",600,600,1,1,12
"526",6400,6400,1,1,13
"527",9300,12700,1,1,14
"528",5700,14800,1,1,15
"529",3900,5200,1,1,16
"530",1400,3300,1,1,17
"531",1100,1900,1,1,18
"532",1900,5100,1,1,19
"533",1200,4600,1,1,20
"534",700,800,1,1,21
"535",5200,6600,1,1,22
"536",789900,3121300,2,1,7
"537",327300,380400,2,1,8
"538",1906200,2769000,2,1,9
"539",488000,1699940,2,1,10
"540",85700,122130,2,1,11
"541",357800,387850,2,1,12
"542",2168500,3332000,2,1,13
"543",2125100,6964130,2,1,14
"544",1875000,5825470,2,1,15
"545",639200,2884630,2,1,16
"546",1229300,4553140,2,1,17
"547",1304400,2447770,2,1,18
"548",1179300,6761570,2,1,19
"549",2268400,9818250,2,1,20
"550",2232200,9725710,2,1,21
"551",4404450,15767360,2,1,22
"552",245500,720200,3,1,7
"553",118200,122400,3,1,8
"554",568700,834000,3,1,9
"555",214700,426290,3,1,10
"556",25100,27170,3,1,11
"557",194300,219640,3,1,12
"558",509300,789050,3,1,13
"559",504400,2074950,3,1,14
"560",431800,1062970,3,1,15
"561",212000,738320,3,1,16
"562",384500,1384850,3,1,17
"563",236100,284240,3,1,18
"564",691600,2199220,3,1,19
"565",678400,3105970,3,1,20
"566",757900,3111100,3,1,21
"567",2001850,6762890,3,1,22
"568",229470,423720,4,8,16
"569",422610,723530,4,8,17
"570",260850,575750,4,8,18
"571",943020,943020,4,8,19
"572",310980,912980,4,8,20
"573",407760,3026160,4,8,21
"574",588730,4332730,4,8,22
"575",440360,1868880,5,8,16
"576",798640,1856540,5,8,17
"577",476790,1393690,5,8,18
"578",2710820,2892820,5,8,19
"579",468240,2842240,5,8,20
"580",949660,4415160,5,8,21
"581",3796350,10856350,5,8,22
"582",15030,30510,6,2,1
"583",22500,45400,6,2,2
"584",7500,19370,6,2,3
"585",15030,23180,6,2,4
"586",7500,46660,6,2,5
"587",7500,11110,6,2,6
"588",7500,35070,6,2,7
"589",3500,113660,6,2,8
"590",400,6040,6,2,9
"591",4000,7320,6,2,10
"592",5030,11420,6,2,11
"593",1300,4060,6,2,12
"594",20100,38130,6,2,13
"595",30250,36950,6,2,14
"596",65040,88260,6,2,15
"597",45270,47850,6,2,16
"598",35600,42420,6,2,17
"599",18230,29090,6,2,18
"600",28110,29330,6,2,19
"601",15130,25060,6,2,20
"602",10080,22130,6,2,21
"603",26530,26660,6,2,22
"604",25780,26320,7,3,1
"605",23280,52910,7,3,2
"606",46280,173850,7,3,3
"607",142280,147000,7,3,4
"608",42330,58580,7,3,5
"609",115400,115400,7,3,6
"610",45700,45920,7,3,7
"611",71950,75310,7,3,8
"612",120430,146160,7,3,9
"613",26700,27440,7,3,10
"614",34230,34620,7,3,11
"615",20370,26030,7,3,12
"616",8580,11510,7,3,13
"617",21790,21790,7,3,14
"618",9250,9430,7,3,15
"619",13240,13240,7,3,16
"620",19990,29370,7,3,17
"621",35570,35800,7,3,18
"622",23260,25980,7,3,19
"623",14070,14210,7,3,20
"624",18140,18350,7,3,21
"625",3840,3880,7,3,22
"626",121090,268620,8,3,1
"627",151330,525710,8,3,2
"628",62030,237340,8,3,3
"629",241980,378120,8,3,4
"630",670480,1712840,8,3,5
"631",1329750,2834380,8,3,6
"632",509150,1738300,8,3,7
"633",95530,196110,8,3,8
"634",105420,139840,8,3,9
"635",366450,606810,8,3,10
"636",233040,633710,8,3,11
"637",309080,348930,8,3,12
"638",142690,546790,8,3,13
"639",489720,1214700,8,3,14
"640",377400,1627900,8,3,15
"641",476790,4045530,8,3,16
"642",1044800,2552290,8,3,17
"643",673620,1603740,8,3,18
"644",579400,623260,8,3,19
"645",611920,1141700,8,3,20
"646",277790,286000,8,3,21
"647",593590,618140,8,3,22
"648",428150,945170,9,2,1
"649",350290,527100,9,2,2
"650",571780,919620,9,2,3
"651",530050,957270,9,2,4
"652",1249000,2982900,9,2,5
"653",748430,2767400,9,2,6
"654",222100,801300,9,2,7
"655",66310,86330,9,2,8
"656",59930,77980,9,2,9
"657",257150,292960,9,2,10
"658",166880,223660,9,2,11
"659",150100,240530,9,2,12
"660",434690,529520,9,2,13
"661",1123330,1805030,9,2,14
"662",737360,2345960,9,2,15
"663",1420270,2206180,9,2,16
"664",2793620,4009010,9,2,17
"665",383060,780240,9,2,18
"666",522530,680920,9,2,19
"667",2399350,2513510,9,2,20
"668",1184710,1442570,9,2,21
"669",629100,853530,9,2,22
"670",44000,151710,10,2,1
"671",9300,112780,10,2,2
"672",7600,57700,10,2,3
"673",19250,56440,10,2,4
"674",22450,149090,10,2,5
"675",16780,52110,10,2,6
"676",18880,48720,10,2,7
"677",100,30770,10,2,8
"678",530,23620,10,2,9
"679",34210,58840,10,2,10
"680",9770,99610,10,2,11
"681",87150,114210,10,2,12
"682",47600,237780,10,2,13
"683",49350,73010,10,2,14
"684",93050,196890,10,2,15
"685",124280,136110,10,2,16
"686",276700,352640,10,2,17
"687",65190,173080,10,2,18
"688",25620,30260,10,2,19
"689",4990,6990,10,2,20
"690",13100,15380,10,2,21
"691",18000,18630,10,2,22
"692",11000,42500,11,6,7
"693",5700,33100,11,6,8
"694",11700,41200,11,6,9
"695",5500,70800,11,6,10
"696",2200,24900,11,6,11
"697",1200,28600,11,6,12
"698",3000,63900,11,6,13
"699",1200,313600,11,6,14
"700",1400,122800,11,6,15
"701",1000,28300,11,6,16
"702",12200,88400,11,6,20
"703",2000,57900,11,6,21
"704",180500,287400,11,6,22
"705",65800,135300,12,6,7
"706",18500,44500,12,6,8
"707",69600,71000,12,6,9
"708",74800,95300,12,6,10
"709",50200,50500,12,6,11
"710",26400,57700,12,6,12
"711",199900,319900,12,6,13
"712",297000,581400,12,6,14
"713",76500,286500,12,6,15
"714",11000,18900,12,6,16
"715",7400,23500,12,6,17
"716",65700,73500,12,6,18
"717",215000,215000,12,6,19
"718",201100,375100,12,6,20
"719",160900,359400,12,6,21
"720",715500,1185200,12,6,22
"721",64800,90500,13,6,7
"722",56100,78700,13,6,8
"723",46000,47700,13,6,9
"724",23000,52000,13,6,10
"725",12800,15300,13,6,11
"726",23500,23500,13,6,12
"727",76000,76200,13,6,13
"728",194300,486700,13,6,14
"729",154700,328000,13,6,15
"730",46300,54100,13,6,16
"731",212100,218700,13,6,17
"732",215600,217700,13,6,18
"733",881000,881000,13,6,19
"734",125000,153000,13,6,20
"735",524700,584000,13,6,21
"736",1399300,1407900,13,6,22
"737",152000,497600,14,6,7
"738",104400,131500,14,6,8
"739",422000,907000,14,6,9
"740",268800,554200,14,6,10
"741",62400,62400,14,6,11
"742",141700,149100,14,6,12
"743",355500,734500,14,6,13
"744",185000,929600,14,6,14
"745",249300,682900,14,6,15
"746",36000,200300,14,6,16
"747",67500,148100,14,6,17
"748",38300,226000,14,6,18
"749",57900,57900,14,6,19
"750",96800,516100,14,6,20
"751",45800,731400,14,6,21
"752",554700,1346400,14,6,22
"753",41000,62200,15,7,6
"754",62800,83600,15,7,7
"755",33500,293400,15,7,8
"756",39300,90800,15,7,9
"757",163400,299900,15,7,10
"758",51400,237300,15,7,11
"759",103400,227800,15,7,12
"760",219200,1287100,15,7,13
"761",307600,2121700,15,7,14
"762",203200,1419300,15,7,15
"763",115700,260300,15,7,16
"764",128600,596000,15,7,17
"765",26900,29900,15,7,18
"766",135900,145600,15,7,19
"767",183700,530000,15,7,20
"768",180800,265500,15,7,21
"769",130500,286800,15,7,22
"770",49700,74600,16,7,6
"771",59500,97800,16,7,7
"772",82000,105700,16,7,8
"773",69400,100800,16,7,9
"774",89300,117700,16,7,10
"775",58400,129000,16,7,11
"776",127500,817500,16,7,12
"777",142300,261100,16,7,13
"778",276400,818900,16,7,14
"779",196100,608300,16,7,15
"780",136500,192000,16,7,16
"781",166100,188000,16,7,17
"782",38000,41500,16,7,18
"783",138300,230800,16,7,19
"784",76400,76700,16,7,20
"785",92200,94800,16,7,21
"786",147800,179900,16,7,22
"787",70000,82700,17,13,5
"788",4e+05,699590,17,13,6
"789",75000,99760,17,13,7
"790",95000,219940,17,13,8
"791",14400,21300,17,13,9
"792",46000,65640,17,13,10
"793",47000,78940,17,13,11
"794",24300,38070,17,13,12
"795",35700,76790,17,13,13
"796",50100,173380,17,13,14
"797",2900,7150,17,13,15
"798",4890,6760,17,13,16
"799",4730,7380,17,13,17
"800",1910,4880,17,13,18
"801",10900,23850,17,13,19
"802",9900,31320,17,13,20
"803",1700,3140,17,13,21
"804",8250,11240,17,13,22
"805",1078000,6460000,18,4,4
"806",1092560,1890000,18,4,5
"807",1954040,5470000,18,4,6
"808",1194100,2320000,18,4,7
"809",1831220,12968000,18,4,8
"810",1530910,4100000,18,4,9
"811",1804950,9800000,18,4,10
"812",1754260,6900000,18,4,11
"813",1367090,5e+06,18,4,12
"814",2387810,8400000,18,4,13
"815",3560650,14200000,18,4,14
"816",4488340,18800000,18,4,15
"817",4631620,15300000,18,4,16
"818",6460620,18900000,18,4,17
"819",3223520,7200000,18,4,18
